Laikotarpis;Rodiklis;Administracinė teritorija;Amžius (0–14, 65 ir vyresni);Matavimo vienetai;Reikšmė
2013;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Ukmergės r. sav.;65 ir vyresni;asmenys;36
2014;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Ukmergės r. sav.;65 ir vyresni;asmenys;36
2015;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Ukmergės r. sav.;65 ir vyresni;asmenys;36
2016;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Ukmergės r. sav.;65 ir vyresni;asmenys;37
2017;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Ukmergės r. sav.;65 ir vyresni;asmenys;38
2018;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Ukmergės r. sav.;65 ir vyresni;asmenys;39
2019;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Ukmergės r. sav.;65 ir vyresni;asmenys;39
2001;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilniaus m. sav.;65 ir vyresni;asmenys;16
2002;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilniaus m. sav.;65 ir vyresni;asmenys;17
2003;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilniaus m. sav.;65 ir vyresni;asmenys;17
2004;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilniaus m. sav.;65 ir vyresni;asmenys;18
2005;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilniaus m. sav.;65 ir vyresni;asmenys;19
2006;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilniaus m. sav.;65 ir vyresni;asmenys;20
2007;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilniaus m. sav.;65 ir vyresni;asmenys;20
2008;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilniaus m. sav.;65 ir vyresni;asmenys;21
2009;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilniaus m. sav.;65 ir vyresni;asmenys;21
2010;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilniaus m. sav.;65 ir vyresni;asmenys;21
2011;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilniaus m. sav.;65 ir vyresni;asmenys;21
2012;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilniaus m. sav.;65 ir vyresni;asmenys;22
2013;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilniaus m. sav.;65 ir vyresni;asmenys;22
2014;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilniaus m. sav.;65 ir vyresni;asmenys;22
2015;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilniaus m. sav.;65 ir vyresni;asmenys;23
2016;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilniaus m. sav.;65 ir vyresni;asmenys;23
2017;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilniaus m. sav.;65 ir vyresni;asmenys;24
2018;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilniaus m. sav.;65 ir vyresni;asmenys;24
2019;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilniaus m. sav.;65 ir vyresni;asmenys;24
2001;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilniaus r. sav.;65 ir vyresni;asmenys;19
2002;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilniaus r. sav.;65 ir vyresni;asmenys;20
2003;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilniaus r. sav.;65 ir vyresni;asmenys;20
2004;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilniaus r. sav.;65 ir vyresni;asmenys;20
2005;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilniaus r. sav.;65 ir vyresni;asmenys;20
2006;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilniaus r. sav.;65 ir vyresni;asmenys;20
2007;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilniaus r. sav.;65 ir vyresni;asmenys;20
2008;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilniaus r. sav.;65 ir vyresni;asmenys;20
2009;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilniaus r. sav.;65 ir vyresni;asmenys;20
2010;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilniaus r. sav.;65 ir vyresni;asmenys;20
2011;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilniaus r. sav.;65 ir vyresni;asmenys;19
2012;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilniaus r. sav.;65 ir vyresni;asmenys;19
2013;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilniaus r. sav.;65 ir vyresni;asmenys;20
2014;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilniaus r. sav.;65 ir vyresni;asmenys;20
2015;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilniaus r. sav.;65 ir vyresni;asmenys;21
2016;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilniaus r. sav.;65 ir vyresni;asmenys;21
2017;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilniaus r. sav.;65 ir vyresni;asmenys;22
2018;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilniaus r. sav.;65 ir vyresni;asmenys;22
2019;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Vilniaus r. sav.;65 ir vyresni;asmenys;22
2001;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Alytaus m. sav.;65 ir vyresni;asmenys;12
2002;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Alytaus m. sav.;65 ir vyresni;asmenys;13
2003;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Alytaus m. sav.;65 ir vyresni;asmenys;13
2004;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Alytaus m. sav.;65 ir vyresni;asmenys;14
2005;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Alytaus m. sav.;65 ir vyresni;asmenys;15
2006;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Alytaus m. sav.;65 ir vyresni;asmenys;16
2007;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Alytaus m. sav.;65 ir vyresni;asmenys;16
2008;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Alytaus m. sav.;65 ir vyresni;asmenys;17
2009;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Alytaus m. sav.;65 ir vyresni;asmenys;18
2010;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Alytaus m. sav.;65 ir vyresni;asmenys;19
2011;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Alytaus m. sav.;65 ir vyresni;asmenys;21
2012;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Alytaus m. sav.;65 ir vyresni;asmenys;22
2013;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Alytaus m. sav.;65 ir vyresni;asmenys;23
2014;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Alytaus m. sav.;65 ir vyresni;asmenys;24
2015;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Alytaus m. sav.;65 ir vyresni;asmenys;26
2016;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Alytaus m. sav.;65 ir vyresni;asmenys;27
2017;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Alytaus m. sav.;65 ir vyresni;asmenys;30
2018;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Alytaus m. sav.;65 ir vyresni;asmenys;31
2019;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Alytaus m. sav.;65 ir vyresni;asmenys;33
2001;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Alytaus r. sav.;65 ir vyresni;asmenys;38
2002;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Alytaus r. sav.;65 ir vyresni;asmenys;39
2003;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Alytaus r. sav.;65 ir vyresni;asmenys;40
2004;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Alytaus r. sav.;65 ir vyresni;asmenys;40
2005;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Alytaus r. sav.;65 ir vyresni;asmenys;40
2006;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Alytaus r. sav.;65 ir vyresni;asmenys;40
2007;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Alytaus r. sav.;65 ir vyresni;asmenys;40
2008;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Alytaus r. sav.;65 ir vyresni;asmenys;40
2009;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Alytaus r. sav.;65 ir vyresni;asmenys;39
2010;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Alytaus r. sav.;65 ir vyresni;asmenys;39
2011;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Alytaus r. sav.;65 ir vyresni;asmenys;38
2012;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Alytaus r. sav.;65 ir vyresni;asmenys;37
2013;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Alytaus r. sav.;65 ir vyresni;asmenys;37
2014;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Alytaus r. sav.;65 ir vyresni;asmenys;37
2015;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Alytaus r. sav.;65 ir vyresni;asmenys;37
2016;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Alytaus r. sav.;65 ir vyresni;asmenys;37
2017;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Alytaus r. sav.;65 ir vyresni;asmenys;37
2018;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Alytaus r. sav.;65 ir vyresni;asmenys;37
2019;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Alytaus r. sav.;65 ir vyresni;asmenys;37
2001;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Druskininkų sav.;65 ir vyresni;asmenys;22
2002;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Druskininkų sav.;65 ir vyresni;asmenys;24
2003;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Druskininkų sav.;65 ir vyresni;asmenys;25
2004;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Druskininkų sav.;65 ir vyresni;asmenys;26
2005;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Druskininkų sav.;65 ir vyresni;asmenys;26
2006;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Druskininkų sav.;65 ir vyresni;asmenys;27
2007;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Druskininkų sav.;65 ir vyresni;asmenys;28
2008;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Druskininkų sav.;65 ir vyresni;asmenys;28
2009;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Druskininkų sav.;65 ir vyresni;asmenys;29
2010;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Druskininkų sav.;65 ir vyresni;asmenys;29
2011;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Druskininkų sav.;65 ir vyresni;asmenys;30
2012;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Druskininkų sav.;65 ir vyresni;asmenys;31
2013;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Druskininkų sav.;65 ir vyresni;asmenys;32
2014;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Druskininkų sav.;65 ir vyresni;asmenys;32
2015;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Druskininkų sav.;65 ir vyresni;asmenys;33
2016;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Druskininkų sav.;65 ir vyresni;asmenys;34
2017;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Druskininkų sav.;65 ir vyresni;asmenys;35
2018;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Druskininkų sav.;65 ir vyresni;asmenys;37
2019;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Druskininkų sav.;65 ir vyresni;asmenys;38
2001;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Lazdijų r. sav.;65 ir vyresni;asmenys;37
2002;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Lazdijų r. sav.;65 ir vyresni;asmenys;38
2003;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Lazdijų r. sav.;65 ir vyresni;asmenys;39
2004;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Lazdijų r. sav.;65 ir vyresni;asmenys;39
2005;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Lazdijų r. sav.;65 ir vyresni;asmenys;39
2006;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Lazdijų r. sav.;65 ir vyresni;asmenys;40
2007;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Lazdijų r. sav.;65 ir vyresni;asmenys;40
2008;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Lazdijų r. sav.;65 ir vyresni;asmenys;40
2009;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Lazdijų r. sav.;65 ir vyresni;asmenys;41
2010;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Lazdijų r. sav.;65 ir vyresni;asmenys;40
2011;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Lazdijų r. sav.;65 ir vyresni;asmenys;39
2012;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Lazdijų r. sav.;65 ir vyresni;asmenys;38
2013;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Lazdijų r. sav.;65 ir vyresni;asmenys;38
2014;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Lazdijų r. sav.;65 ir vyresni;asmenys;38
2015;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Lazdijų r. sav.;65 ir vyresni;asmenys;38
2016;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Lazdijų r. sav.;65 ir vyresni;asmenys;38
2017;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Lazdijų r. sav.;65 ir vyresni;asmenys;38
2018;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Lazdijų r. sav.;65 ir vyresni;asmenys;39
2019;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Lazdijų r. sav.;65 ir vyresni;asmenys;39
2001;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Varėnos r. sav.;65 ir vyresni;asmenys;32
2002;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Varėnos r. sav.;65 ir vyresni;asmenys;34
2003;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Varėnos r. sav.;65 ir vyresni;asmenys;34
2004;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Varėnos r. sav.;65 ir vyresni;asmenys;36
2005;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Varėnos r. sav.;65 ir vyresni;asmenys;36
2006;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Varėnos r. sav.;65 ir vyresni;asmenys;37
2007;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Varėnos r. sav.;65 ir vyresni;asmenys;37
2008;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Varėnos r. sav.;65 ir vyresni;asmenys;38
2009;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Varėnos r. sav.;65 ir vyresni;asmenys;38
2010;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Varėnos r. sav.;65 ir vyresni;asmenys;38
2011;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Varėnos r. sav.;65 ir vyresni;asmenys;37
2012;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Varėnos r. sav.;65 ir vyresni;asmenys;37
2013;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Varėnos r. sav.;65 ir vyresni;asmenys;37
2014;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Varėnos r. sav.;65 ir vyresni;asmenys;38
2015;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Varėnos r. sav.;65 ir vyresni;asmenys;38
2016;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Varėnos r. sav.;65 ir vyresni;asmenys;38
2017;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Varėnos r. sav.;65 ir vyresni;asmenys;39
2018;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Varėnos r. sav.;65 ir vyresni;asmenys;39
2019;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Varėnos r. sav.;65 ir vyresni;asmenys;40
2001;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Birštono sav.;65 ir vyresni;asmenys;29
2002;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Birštono sav.;65 ir vyresni;asmenys;29
2003;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Birštono sav.;65 ir vyresni;asmenys;29
2004;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Birštono sav.;65 ir vyresni;asmenys;30
2005;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Birštono sav.;65 ir vyresni;asmenys;31
2006;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Birštono sav.;65 ir vyresni;asmenys;32
2007;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Birštono sav.;65 ir vyresni;asmenys;31
2008;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Birštono sav.;65 ir vyresni;asmenys;31
2009;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Birštono sav.;65 ir vyresni;asmenys;31
2010;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Birštono sav.;65 ir vyresni;asmenys;31
2011;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Birštono sav.;65 ir vyresni;asmenys;34
2012;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Birštono sav.;65 ir vyresni;asmenys;34
2013;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Birštono sav.;65 ir vyresni;asmenys;35
2014;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Birštono sav.;65 ir vyresni;asmenys;35
2015;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Birštono sav.;65 ir vyresni;asmenys;35
2016;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Birštono sav.;65 ir vyresni;asmenys;36
2017;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Birštono sav.;65 ir vyresni;asmenys;37
2018;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Birštono sav.;65 ir vyresni;asmenys;39
2019;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Birštono sav.;65 ir vyresni;asmenys;39
2001;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Jonavos r. sav.;65 ir vyresni;asmenys;17
2002;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Jonavos r. sav.;65 ir vyresni;asmenys;18
2003;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Jonavos r. sav.;65 ir vyresni;asmenys;18
2004;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Jonavos r. sav.;65 ir vyresni;asmenys;18
2005;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Jonavos r. sav.;65 ir vyresni;asmenys;19
2006;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Jonavos r. sav.;65 ir vyresni;asmenys;20
2007;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Jonavos r. sav.;65 ir vyresni;asmenys;21
2008;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Jonavos r. sav.;65 ir vyresni;asmenys;21
2009;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Jonavos r. sav.;65 ir vyresni;asmenys;21
2010;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Jonavos r. sav.;65 ir vyresni;asmenys;22
2011;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Jonavos r. sav.;65 ir vyresni;asmenys;24
2012;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Jonavos r. sav.;65 ir vyresni;asmenys;24
2013;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Jonavos r. sav.;65 ir vyresni;asmenys;25
2014;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Jonavos r. sav.;65 ir vyresni;asmenys;26
2015;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Jonavos r. sav.;65 ir vyresni;asmenys;27
2016;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Jonavos r. sav.;65 ir vyresni;asmenys;28
2017;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Jonavos r. sav.;65 ir vyresni;asmenys;29
2018;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Jonavos r. sav.;65 ir vyresni;asmenys;30
2019;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Jonavos r. sav.;65 ir vyresni;asmenys;31
2001;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kaišiadorių r. sav.;65 ir vyresni;asmenys;25
2002;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kaišiadorių r. sav.;65 ir vyresni;asmenys;26
2003;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kaišiadorių r. sav.;65 ir vyresni;asmenys;26
2004;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kaišiadorių r. sav.;65 ir vyresni;asmenys;27
2005;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kaišiadorių r. sav.;65 ir vyresni;asmenys;27
2006;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kaišiadorių r. sav.;65 ir vyresni;asmenys;27
2007;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kaišiadorių r. sav.;65 ir vyresni;asmenys;27
2008;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kaišiadorių r. sav.;65 ir vyresni;asmenys;27
2009;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kaišiadorių r. sav.;65 ir vyresni;asmenys;28
2010;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kaišiadorių r. sav.;65 ir vyresni;asmenys;27
2011;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kaišiadorių r. sav.;65 ir vyresni;asmenys;26
2012;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kaišiadorių r. sav.;65 ir vyresni;asmenys;27
2013;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kaišiadorių r. sav.;65 ir vyresni;asmenys;27
2014;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kaišiadorių r. sav.;65 ir vyresni;asmenys;27
2015;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kaišiadorių r. sav.;65 ir vyresni;asmenys;27
2016;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kaišiadorių r. sav.;65 ir vyresni;asmenys;28
2017;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kaišiadorių r. sav.;65 ir vyresni;asmenys;28
2018;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kaišiadorių r. sav.;65 ir vyresni;asmenys;29
2019;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kaišiadorių r. sav.;65 ir vyresni;asmenys;29
2001;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kauno m. sav.;65 ir vyresni;asmenys;18
2002;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kauno m. sav.;65 ir vyresni;asmenys;19
2003;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kauno m. sav.;65 ir vyresni;asmenys;20
2004;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kauno m. sav.;65 ir vyresni;asmenys;21
2005;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kauno m. sav.;65 ir vyresni;asmenys;22
2006;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kauno m. sav.;65 ir vyresni;asmenys;23
2007;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kauno m. sav.;65 ir vyresni;asmenys;23
2008;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kauno m. sav.;65 ir vyresni;asmenys;24
2009;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kauno m. sav.;65 ir vyresni;asmenys;25
2010;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kauno m. sav.;65 ir vyresni;asmenys;26
2011;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kauno m. sav.;65 ir vyresni;asmenys;28
2012;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kauno m. sav.;65 ir vyresni;asmenys;29
2013;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kauno m. sav.;65 ir vyresni;asmenys;29
2014;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kauno m. sav.;65 ir vyresni;asmenys;29
2015;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kauno m. sav.;65 ir vyresni;asmenys;30
2016;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kauno m. sav.;65 ir vyresni;asmenys;31
2017;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kauno m. sav.;65 ir vyresni;asmenys;32
2018;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kauno m. sav.;65 ir vyresni;asmenys;32
2019;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kauno m. sav.;65 ir vyresni;asmenys;33
2001;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kauno r. sav.;65 ir vyresni;asmenys;19
2002;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kauno r. sav.;65 ir vyresni;asmenys;20
2003;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kauno r. sav.;65 ir vyresni;asmenys;20
2004;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kauno r. sav.;65 ir vyresni;asmenys;21
2005;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kauno r. sav.;65 ir vyresni;asmenys;21
2006;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kauno r. sav.;65 ir vyresni;asmenys;21
2007;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kauno r. sav.;65 ir vyresni;asmenys;22
2008;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kauno r. sav.;65 ir vyresni;asmenys;22
2009;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kauno r. sav.;65 ir vyresni;asmenys;22
2010;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kauno r. sav.;65 ir vyresni;asmenys;22
2011;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kauno r. sav.;65 ir vyresni;asmenys;23
2012;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kauno r. sav.;65 ir vyresni;asmenys;23
2013;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kauno r. sav.;65 ir vyresni;asmenys;23
2014;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kauno r. sav.;65 ir vyresni;asmenys;23
2015;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kauno r. sav.;65 ir vyresni;asmenys;23
2016;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kauno r. sav.;65 ir vyresni;asmenys;23
2017;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kauno r. sav.;65 ir vyresni;asmenys;23
2018;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kauno r. sav.;65 ir vyresni;asmenys;23
2019;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kauno r. sav.;65 ir vyresni;asmenys;23
2001;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Kėdainių r. sav.;65 ir vyresni;asmenys;22
