Laikotarpis;Rodiklis;Administracinė teritorija;Amžius;Lytis;Matavimo vienetai;Reikšmė
2010;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Šiaulių r. sav.;0–14;Moterys;proc.;7.6
2011;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Šiaulių r. sav.;0–14;Moterys;proc.;7.3
2012;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Šiaulių r. sav.;0–14;Moterys;proc.;7.0
2013;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Šiaulių r. sav.;0–14;Moterys;proc.;7.0
2014;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Šiaulių r. sav.;0–14;Moterys;proc.;6.9
2015;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Šiaulių r. sav.;0–14;Moterys;proc.;6.6
2016;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Šiaulių r. sav.;0–14;Moterys;proc.;6.6
2017;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Šiaulių r. sav.;0–14;Moterys;proc.;6.8
2018;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Šiaulių r. sav.;0–14;Moterys;proc.;6.9
2019;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Šiaulių r. sav.;0–14;Moterys;proc.;7.1
2001;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Tauragės apskritis;0–14;Vyrai ir moterys;proc.;22.5
2002;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Tauragės apskritis;0–14;Vyrai ir moterys;proc.;21.7
2003;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Tauragės apskritis;0–14;Vyrai ir moterys;proc.;20.8
2004;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Tauragės apskritis;0–14;Vyrai ir moterys;proc.;20.2
2005;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Tauragės apskritis;0–14;Vyrai ir moterys;proc.;19.5
2006;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Tauragės apskritis;0–14;Vyrai ir moterys;proc.;18.8
2007;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Tauragės apskritis;0–14;Vyrai ir moterys;proc.;18.1
2008;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Tauragės apskritis;0–14;Vyrai ir moterys;proc.;17.3
2009;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Tauragės apskritis;0–14;Vyrai ir moterys;proc.;16.6
2010;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Tauragės apskritis;0–14;Vyrai ir moterys;proc.;16.1
2011;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Tauragės apskritis;0–14;Vyrai ir moterys;proc.;15.4
2012;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Tauragės apskritis;0–14;Vyrai ir moterys;proc.;15.1
2013;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Tauragės apskritis;0–14;Vyrai ir moterys;proc.;14.9
2014;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Tauragės apskritis;0–14;Vyrai ir moterys;proc.;14.7
2015;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Tauragės apskritis;0–14;Vyrai ir moterys;proc.;14.5
2016;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Tauragės apskritis;0–14;Vyrai ir moterys;proc.;14.5
2017;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Tauragės apskritis;0–14;Vyrai ir moterys;proc.;14.6
2018;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Tauragės apskritis;0–14;Vyrai ir moterys;proc.;14.7
2019;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Tauragės apskritis;0–14;Vyrai ir moterys;proc.;14.6
2001;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Tauragės apskritis;0–14;Vyrai;proc.;11.5
2002;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Tauragės apskritis;0–14;Vyrai;proc.;11.1
2003;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Tauragės apskritis;0–14;Vyrai;proc.;10.6
2004;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Tauragės apskritis;0–14;Vyrai;proc.;10.4
2005;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Tauragės apskritis;0–14;Vyrai;proc.;10.0
2006;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Tauragės apskritis;0–14;Vyrai;proc.;9.6
2007;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Tauragės apskritis;0–14;Vyrai;proc.;9.3
2008;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Tauragės apskritis;0–14;Vyrai;proc.;8.9
2009;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Tauragės apskritis;0–14;Vyrai;proc.;8.5
2010;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Tauragės apskritis;0–14;Vyrai;proc.;8.3
2011;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Tauragės apskritis;0–14;Vyrai;proc.;7.9
2012;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Tauragės apskritis;0–14;Vyrai;proc.;7.9
2013;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Tauragės apskritis;0–14;Vyrai;proc.;7.8
2014;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Tauragės apskritis;0–14;Vyrai;proc.;7.7
2015;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Tauragės apskritis;0–14;Vyrai;proc.;7.5
2016;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Tauragės apskritis;0–14;Vyrai;proc.;7.5
2017;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Tauragės apskritis;0–14;Vyrai;proc.;7.5
2018;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Tauragės apskritis;0–14;Vyrai;proc.;7.6
2019;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Tauragės apskritis;0–14;Vyrai;proc.;7.6
2001;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Tauragės apskritis;0–14;Moterys;proc.;11.0
2002;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Tauragės apskritis;0–14;Moterys;proc.;10.6
2003;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Tauragės apskritis;0–14;Moterys;proc.;10.2
2004;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Tauragės apskritis;0–14;Moterys;proc.;9.8
2005;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Tauragės apskritis;0–14;Moterys;proc.;9.5
2006;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Tauragės apskritis;0–14;Moterys;proc.;9.2
2007;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Tauragės apskritis;0–14;Moterys;proc.;8.8
2008;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Tauragės apskritis;0–14;Moterys;proc.;8.4
2009;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Tauragės apskritis;0–14;Moterys;proc.;8.1
2010;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Tauragės apskritis;0–14;Moterys;proc.;7.8
2011;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Tauragės apskritis;0–14;Moterys;proc.;7.5
2012;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Tauragės apskritis;0–14;Moterys;proc.;7.2
2013;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Tauragės apskritis;0–14;Moterys;proc.;7.1
2014;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Tauragės apskritis;0–14;Moterys;proc.;7.0
2015;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Tauragės apskritis;0–14;Moterys;proc.;7.0
2016;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Tauragės apskritis;0–14;Moterys;proc.;7.0
2017;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Tauragės apskritis;0–14;Moterys;proc.;7.1
2018;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Tauragės apskritis;0–14;Moterys;proc.;7.1
2019;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Tauragės apskritis;0–14;Moterys;proc.;7.0
2001;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Jurbarko r. sav.;0–14;Vyrai ir moterys;proc.;20.8
2002;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Jurbarko r. sav.;0–14;Vyrai ir moterys;proc.;20.0
2003;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Jurbarko r. sav.;0–14;Vyrai ir moterys;proc.;19.2
2004;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Jurbarko r. sav.;0–14;Vyrai ir moterys;proc.;18.8
2005;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Jurbarko r. sav.;0–14;Vyrai ir moterys;proc.;18.3
2006;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Jurbarko r. sav.;0–14;Vyrai ir moterys;proc.;17.7
2007;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Jurbarko r. sav.;0–14;Vyrai ir moterys;proc.;17.2
2008;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Jurbarko r. sav.;0–14;Vyrai ir moterys;proc.;16.5
2009;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Jurbarko r. sav.;0–14;Vyrai ir moterys;proc.;16.0
2010;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Jurbarko r. sav.;0–14;Vyrai ir moterys;proc.;15.5
2011;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Jurbarko r. sav.;0–14;Vyrai ir moterys;proc.;14.8
2012;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Jurbarko r. sav.;0–14;Vyrai ir moterys;proc.;14.6
2013;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Jurbarko r. sav.;0–14;Vyrai ir moterys;proc.;14.5
2014;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Jurbarko r. sav.;0–14;Vyrai ir moterys;proc.;14.2
2015;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Jurbarko r. sav.;0–14;Vyrai ir moterys;proc.;14.0
2016;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Jurbarko r. sav.;0–14;Vyrai ir moterys;proc.;14.0
2017;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Jurbarko r. sav.;0–14;Vyrai ir moterys;proc.;14.1
2018;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Jurbarko r. sav.;0–14;Vyrai ir moterys;proc.;14.3
2019;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Jurbarko r. sav.;0–14;Vyrai ir moterys;proc.;14.0
2001;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Jurbarko r. sav.;0–14;Vyrai;proc.;10.7
2002;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Jurbarko r. sav.;0–14;Vyrai;proc.;10.2
2003;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Jurbarko r. sav.;0–14;Vyrai;proc.;9.9
2004;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Jurbarko r. sav.;0–14;Vyrai;proc.;9.7
2005;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Jurbarko r. sav.;0–14;Vyrai;proc.;9.5
2006;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Jurbarko r. sav.;0–14;Vyrai;proc.;9.2
2007;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Jurbarko r. sav.;0–14;Vyrai;proc.;8.9
2008;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Jurbarko r. sav.;0–14;Vyrai;proc.;8.5
2009;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Jurbarko r. sav.;0–14;Vyrai;proc.;8.2
2010;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Jurbarko r. sav.;0–14;Vyrai;proc.;8.0
2011;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Jurbarko r. sav.;0–14;Vyrai;proc.;7.7
2012;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Jurbarko r. sav.;0–14;Vyrai;proc.;7.7
2013;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Jurbarko r. sav.;0–14;Vyrai;proc.;7.7
2014;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Jurbarko r. sav.;0–14;Vyrai;proc.;7.5
2015;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Jurbarko r. sav.;0–14;Vyrai;proc.;7.4
2016;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Jurbarko r. sav.;0–14;Vyrai;proc.;7.5
2017;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Jurbarko r. sav.;0–14;Vyrai;proc.;7.5
2018;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Jurbarko r. sav.;0–14;Vyrai;proc.;7.5
2019;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Jurbarko r. sav.;0–14;Vyrai;proc.;7.3
2001;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Jurbarko r. sav.;0–14;Moterys;proc.;10.1
2002;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Jurbarko r. sav.;0–14;Moterys;proc.;9.8
2003;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Jurbarko r. sav.;0–14;Moterys;proc.;9.3
2004;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Jurbarko r. sav.;0–14;Moterys;proc.;9.1
2005;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Jurbarko r. sav.;0–14;Moterys;proc.;8.8
2006;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Jurbarko r. sav.;0–14;Moterys;proc.;8.5
2007;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Jurbarko r. sav.;0–14;Moterys;proc.;8.3
2008;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Jurbarko r. sav.;0–14;Moterys;proc.;8.0
2009;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Jurbarko r. sav.;0–14;Moterys;proc.;7.8
2010;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Jurbarko r. sav.;0–14;Moterys;proc.;7.5
2011;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Jurbarko r. sav.;0–14;Moterys;proc.;7.1
2012;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Jurbarko r. sav.;0–14;Moterys;proc.;6.9
2013;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Jurbarko r. sav.;0–14;Moterys;proc.;6.8
2014;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Jurbarko r. sav.;0–14;Moterys;proc.;6.7
2015;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Jurbarko r. sav.;0–14;Moterys;proc.;6.6
2016;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Jurbarko r. sav.;0–14;Moterys;proc.;6.5
2017;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Jurbarko r. sav.;0–14;Moterys;proc.;6.6
2018;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Jurbarko r. sav.;0–14;Moterys;proc.;6.8
2019;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Jurbarko r. sav.;0–14;Moterys;proc.;6.7
2001;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Pagėgių sav.;0–14;Vyrai ir moterys;proc.;23.4
2002;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Pagėgių sav.;0–14;Vyrai ir moterys;proc.;22.5
2003;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Pagėgių sav.;0–14;Vyrai ir moterys;proc.;22.0
2004;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Pagėgių sav.;0–14;Vyrai ir moterys;proc.;21.4
2005;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Pagėgių sav.;0–14;Vyrai ir moterys;proc.;20.9
2006;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Pagėgių sav.;0–14;Vyrai ir moterys;proc.;20.3
2007;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Pagėgių sav.;0–14;Vyrai ir moterys;proc.;19.4
2008;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Pagėgių sav.;0–14;Vyrai ir moterys;proc.;18.6
2009;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Pagėgių sav.;0–14;Vyrai ir moterys;proc.;18.0
2010;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Pagėgių sav.;0–14;Vyrai ir moterys;proc.;17.7
2011;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Pagėgių sav.;0–14;Vyrai ir moterys;proc.;16.3
2012;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Pagėgių sav.;0–14;Vyrai ir moterys;proc.;16.5
2013;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Pagėgių sav.;0–14;Vyrai ir moterys;proc.;16.4
2014;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Pagėgių sav.;0–14;Vyrai ir moterys;proc.;15.7
2015;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Pagėgių sav.;0–14;Vyrai ir moterys;proc.;15.2
2016;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Pagėgių sav.;0–14;Vyrai ir moterys;proc.;14.9
2017;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Pagėgių sav.;0–14;Vyrai ir moterys;proc.;15.1
2018;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Pagėgių sav.;0–14;Vyrai ir moterys;proc.;15.2
2019;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Pagėgių sav.;0–14;Vyrai ir moterys;proc.;15.3
2001;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Pagėgių sav.;0–14;Vyrai;proc.;11.9
2002;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Pagėgių sav.;0–14;Vyrai;proc.;11.3
2003;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Pagėgių sav.;0–14;Vyrai;proc.;11.0
2004;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Pagėgių sav.;0–14;Vyrai;proc.;10.7
2005;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Pagėgių sav.;0–14;Vyrai;proc.;10.3
2006;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Pagėgių sav.;0–14;Vyrai;proc.;9.8
2007;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Pagėgių sav.;0–14;Vyrai;proc.;9.5
2008;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Pagėgių sav.;0–14;Vyrai;proc.;9.2
2009;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Pagėgių sav.;0–14;Vyrai;proc.;8.9
2010;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Pagėgių sav.;0–14;Vyrai;proc.;8.8
2011;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Pagėgių sav.;0–14;Vyrai;proc.;8.2
2012;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Pagėgių sav.;0–14;Vyrai;proc.;8.3
2013;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Pagėgių sav.;0–14;Vyrai;proc.;8.3
2014;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Pagėgių sav.;0–14;Vyrai;proc.;7.7
2015;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Pagėgių sav.;0–14;Vyrai;proc.;7.4
2016;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Pagėgių sav.;0–14;Vyrai;proc.;7.3
2017;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Pagėgių sav.;0–14;Vyrai;proc.;7.4
2018;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Pagėgių sav.;0–14;Vyrai;proc.;7.4
2019;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Pagėgių sav.;0–14;Vyrai;proc.;7.4
2001;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Pagėgių sav.;0–14;Moterys;proc.;11.5
2002;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Pagėgių sav.;0–14;Moterys;proc.;11.2
2003;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Pagėgių sav.;0–14;Moterys;proc.;11.0
2004;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Pagėgių sav.;0–14;Moterys;proc.;10.7
2005;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Pagėgių sav.;0–14;Moterys;proc.;10.6
2006;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Pagėgių sav.;0–14;Moterys;proc.;10.5
2007;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Pagėgių sav.;0–14;Moterys;proc.;9.9
2008;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Pagėgių sav.;0–14;Moterys;proc.;9.4
2009;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Pagėgių sav.;0–14;Moterys;proc.;9.1
2010;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Pagėgių sav.;0–14;Moterys;proc.;8.9
2011;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Pagėgių sav.;0–14;Moterys;proc.;8.1
2012;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Pagėgių sav.;0–14;Moterys;proc.;8.2
2013;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Pagėgių sav.;0–14;Moterys;proc.;8.1
2014;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Pagėgių sav.;0–14;Moterys;proc.;8.0
2015;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Pagėgių sav.;0–14;Moterys;proc.;7.8
2016;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Pagėgių sav.;0–14;Moterys;proc.;7.6
2017;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Pagėgių sav.;0–14;Moterys;proc.;7.7
2018;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Pagėgių sav.;0–14;Moterys;proc.;7.8
2019;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Pagėgių sav.;0–14;Moterys;proc.;7.9
2001;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Šilalės r. sav.;0–14;Vyrai ir moterys;proc.;24.9
2002;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Šilalės r. sav.;0–14;Vyrai ir moterys;proc.;24.2
2003;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Šilalės r. sav.;0–14;Vyrai ir moterys;proc.;23.4
2004;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Šilalės r. sav.;0–14;Vyrai ir moterys;proc.;22.9
2005;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Šilalės r. sav.;0–14;Vyrai ir moterys;proc.;22.1
2006;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Šilalės r. sav.;0–14;Vyrai ir moterys;proc.;21.3
2007;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Šilalės r. sav.;0–14;Vyrai ir moterys;proc.;20.4
2008;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Šilalės r. sav.;0–14;Vyrai ir moterys;proc.;19.3
2009;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Šilalės r. sav.;0–14;Vyrai ir moterys;proc.;18.3
2010;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Šilalės r. sav.;0–14;Vyrai ir moterys;proc.;17.5
2011;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Šilalės r. sav.;0–14;Vyrai ir moterys;proc.;16.5
2012;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Šilalės r. sav.;0–14;Vyrai ir moterys;proc.;16.0
2013;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Šilalės r. sav.;0–14;Vyrai ir moterys;proc.;15.9
2014;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Šilalės r. sav.;0–14;Vyrai ir moterys;proc.;15.7
2015;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Šilalės r. sav.;0–14;Vyrai ir moterys;proc.;15.3
2016;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Šilalės r. sav.;0–14;Vyrai ir moterys;proc.;15.3
2017;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Šilalės r. sav.;0–14;Vyrai ir moterys;proc.;15.2
2018;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Šilalės r. sav.;0–14;Vyrai ir moterys;proc.;15.3
2019;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Šilalės r. sav.;0–14;Vyrai ir moterys;proc.;15.2
2001;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Šilalės r. sav.;0–14;Vyrai;proc.;12.9
2002;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Šilalės r. sav.;0–14;Vyrai;proc.;12.5
2003;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Šilalės r. sav.;0–14;Vyrai;proc.;12.1
2004;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Šilalės r. sav.;0–14;Vyrai;proc.;11.8
2005;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Šilalės r. sav.;0–14;Vyrai;proc.;11.4
2006;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Šilalės r. sav.;0–14;Vyrai;proc.;11.0
2007;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Šilalės r. sav.;0–14;Vyrai;proc.;10.4
2008;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Šilalės r. sav.;0–14;Vyrai;proc.;10.0
2009;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Šilalės r. sav.;0–14;Vyrai;proc.;9.5
2010;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Šilalės r. sav.;0–14;Vyrai;proc.;9.1
2011;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Šilalės r. sav.;0–14;Vyrai;proc.;8.6
2012;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Šilalės r. sav.;0–14;Vyrai;proc.;8.3
2013;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Šilalės r. sav.;0–14;Vyrai;proc.;8.3
2014;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Šilalės r. sav.;0–14;Vyrai;proc.;8.2
2015;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Šilalės r. sav.;0–14;Vyrai;proc.;8.0
2016;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Šilalės r. sav.;0–14;Vyrai;proc.;8.0
2017;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Šilalės r. sav.;0–14;Vyrai;proc.;8.0
2018;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Šilalės r. sav.;0–14;Vyrai;proc.;8.1
2019;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Šilalės r. sav.;0–14;Vyrai;proc.;8.0
2001;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Šilalės r. sav.;0–14;Moterys;proc.;12.0
2002;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Šilalės r. sav.;0–14;Moterys;proc.;11.7
2003;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Šilalės r. sav.;0–14;Moterys;proc.;11.3
2004;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Šilalės r. sav.;0–14;Moterys;proc.;11.1
2005;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Šilalės r. sav.;0–14;Moterys;proc.;10.7
